Stock Name,Basic Industry,Sector,Company Name
DVL,Diversified Operations,Diversified,Dhunseri Ventures Limited
DYNPRO,Chemicals Specialty,Chemicals,Dynemic Products Limited
EXCELINDUS,Agro chemicals,Chemicals,Excel Industries Limited
EVERESTIND,Construction Products Miscallaneous,Construction,Everest Industries Limited
ANUP,Civil Construction,Construction,The Anup Engineering Limited
DELTAMAGNT,Industrial Products & Manufacturing,Capital Goods,Delta Manufacturing Limited
BOROLTD,Household Appliances,Consumer Durables,Borosil Limited
INDOAMIN,Chemicals Specialty,Chemicals,Indo Amines Limited
PRAKASH,Iron & Steel,Metals & Mining,Prakash Industries Limited
PFC,NBFC,Financial Services,Power Finance Corporation Limited
VINYLINDIA,Chemicals Specialty,Chemicals,Vinyl Chemicals (India) Limited
RAJSREESUG,Sugar,FMCG,Rajshree Sugars & Chemicals Limited
JYOTHYLAB,Personal Care,FMCG,Jyothy Labs Limited
SHREYANIND,Paper & Paper Products,Forest Materials,Shreyans Industries Limited
SOMANYCERA,Construction Products Miscallaneous,Construction,Somany Ceramics Limited
SUNDARAM,Paper & Paper Products,Forest Materials,Sundaram Multi Pap Limited
ESAFSFB,Private Banks,Financial Services,ESAF Small Finance Bank Limited
BAJEL,Electrical - Power Equipment,Capital Goods,Bajel Projects Limited
GANGOTRI,Textiles,Textiles,Gangotri Textiles Limited
VIVIDHA,Textiles,Textiles,Visagar Polytex Limited
AKUMS,Pharmaceuticals,Healthcare,Akums Drugs and Pharmaceuticals Limited
JSWCEMENT,Cement,Construction,JSW Cement Limited
BFINVEST,Holding Company,Financial Services,BF Investment Limited
ABREL,Paper & Paper Products,Forest Materials,Aditya Birla Real Estate Limited
ASHOKA,Civil Construction,Construction,Ashoka Buildcon Limited
ELECTHERM,Iron & Steel,Metals & Mining,Electrotherm (India) Limited
GARFIBRES,Textiles,Textiles,Garware Technical Fibres Limited
GOYALALUM,Metal Fabrication,Metals & Mining,Goyal Aluminiums Limited
ADFFOODS,Food Products,FMCG,ADF Foods Limited
CERA,Household Appliances,Consumer Durables,Cera Sanitaryware Limited
NBIFIN,NBFC,Financial Services,N. B. I. Industrial Finance Company Limited
POWERMECH,Civil Construction,Construction,Power Mech Projects Limited
KREBSBIO,Pharmaceuticals,Healthcare,Krebs Biochemicals and Industries Limited
PITTIENG,Electrical - Power Equipment,Capital Goods,Pitti Engineering Limited
KIRLPNU,Industrial Products & Manufacturing,Capital Goods,Kirloskar Pneumatic Company Limited
ROSSELLIND,Tea & Coffee,FMCG,Rossell India Limited
LOVABLE,Textiles,Textiles,Lovable Lingerie Limited
RPSGVENT,Software Services,Information Technology,RPSG VENTURES LIMITED
SDBL,Breweries & Distilleries,FMCG,Som Distilleries & Breweries Limited
TREL,Real Estate,Realty,Transindia Real Estate Limited
TGBHOTELS,Hotels,Consumer Services,TGB Banquets And Hotels Limited
TECHIN,Real Estate,Realty,Techindia Nirman Limited
TIPSFILMS,Film Production & Distribution,Media Entertainment & Publication,Tips Films Limited
LLOYDSENGG,Iron & Steel,Metals & Mining,LLOYDS ENGINEERING WORKS LIMITED
SSDL,Retail-Department Stores,Consumer Services,Saraswati Saree Depot Limited
BIRLAMONEY,Investment Banking & Broking,Financial Services,Aditya Birla Money Limited
DHANUKA,Agro chemicals,Chemicals,Dhanuka Agritech Limited
GRINFRA,Civil Construction,Construction,G R Infraprojects Limited
EMUDHRA,Software Services,Information Technology,eMudhra Limited
HPL,Electrical - Power Equipment,Capital Goods,HPL Electric & Power Limited
IGARASHI,Auto Ancilaries,Auto,Igarashi Motors India Limited
AVADHSUGAR,Sugar,FMCG,Avadh Sugar & Energy Limited
BALRAMCHIN,Sugar,FMCG,Balrampur Chini Mills Limited
NAGAFERT,Fertilizers,Chemicals,Nagarjuna Fertilizers and Chemicals Limited
SATIA,Paper & Paper Products,Forest Materials,Satia Industries Limited
MAHESHWARI,Logistics,Services,Maheshwari Logistics Limited
LAMBODHARA,Textiles,Textiles,Lambodhara Textiles Limited
MOHITIND,Textiles,Textiles,Mohit Industries Limited
RAYMOND,Textiles,Textiles,Raymond Limited
JCHAC,Household Appliances,Consumer Durables,Johnson Controls - Hitachi Air Conditioning India Limited
PGEL,EMS,Capital Goods,PG Electroplast Limited
VIPULLTD,Real Estate,Realty,Vipul Limited
WABAG,Water Supply & Management,Utilities,VA Tech Wabag Limited
INNOVACAP,Medical-Diversified,Healthcare,Innova Captab Limited
ENTERO,Pharmaceuticals,Healthcare,Entero Healthcare Solutions Limited
GANESHCP,Personal Care,FMCG,Ganesh Consumer Products Limited
BMWVENTLTD,Trading - Metals,Metals & Mining,BMW Ventures Limited
HPAL,Chemicals Specialty,Chemicals,HP Adhesives Limited
GULPOLY,Chemicals Specialty,Chemicals,Gulshan Polyols Limited
ATAM,Iron & Steel,Metals & Mining,Atam Valves Limited
HGS,Diversified Commercial Services,Services,Hinduja Global Solutions Limited
DTIL,Tea & Coffee,FMCG,Dhunseri Tea & Industries Limited
NOCIL,Chemicals Specialty,Chemicals,NOCIL Limited
OAL,Personal Care,FMCG,Oriental Aromatics Limited
GTL,Other Telecom Services,Telecommunication,GTL Limited
